fecha_opreal,hora_opreal,eolica,geotermica,hidraulica,solar,termica
2024-06-01,11,849.6769167018999,38.58,1684.6699185286,4659.12813148465,2773.4255810552
2024-06-01,12,582.5991247353,38.42,1563.1804543004,5158.929020882262,2716.8110184411
2024-06-01,13,722.7733068475001,39.09,1410.8235693044,5231.387189482321,2596.1420785867
2024-06-01,14,1016.0884955598001,37.010000000000005,1347.0018547131,5018.2766978754,2518.7486825654
2024-06-01,15,824.8138509636,37.620000000000005,1427.4159529145,4833.9439375715,2659.1785734539
2024-06-01,16,1110.5449512055,37.8,1391.7600632966,4399.4006604331,2796.4716432646
2024-06-01,17,1286.8732213136,38.31,1424.77722359,3381.7368425596,3741.0919893247
2024-06-01,18,1719.7721713042,38.88,2199.9198232994,791.2226124146,5273.3670896431995
2024-06-01,19,1572.4130592787,38.94,2659.8942133186,141.1916988196,6037.4675759592
2024-06-01,20,1221.8053165789,39.33,2910.8424642129,218.1194992888,6154.6876922642
2024-06-01,21,1001.6351946601,39.69,3018.2325762615,217.3694165776,6172.6415688133
2024-06-01,22,863.0656255648,39.72,3032.4545722128,212.1521376465,6149.1294971955
2024-06-01,23,956.7175375957,39.9,2888.1228748342,170.98016518330002,6125.4860242951
2024-06-01,24,1236.2492897987,40.33,2807.8646431203,29.988385113299998,5722.3358118369
2024-06-02,1,1380.1327591698,39.51,2424.7459946173,3.3019970546999997,5481.5694373808
2024-06-02,2,1124.7130318718,37.86,2140.5257095671,0.0019669698,5538.8317947897
2024-06-02,3,1111.2279452088999,37.64,2077.6071669555,0.0018891391,5215.8528078673
2024-06-02,4,1125.324366146,37.72,2048.6264348119,0.006939898000000001,4992.1095964789
2024-06-02,5,1183.1121166001,37.69,1988.3150753244,0.41655009470000004,4903.5998478486
2024-06-02,6,1349.460093979,37.94,1891.0455873029,2.8040779841,4764.1578625641005
2024-06-02,7,1652.0675927355,39.24,2015.801418025,7.8759312232,4384.8922908274
2024-06-02,8,1492.2799014092,38.09,2307.5280414937,289.7241399921,3978.0185985369
2024-06-02,9,1460.1971388702,37.47,1669.6026228601,2174.5613975546,2829.7086606571
2024-06-02,10,1203.6143846692,36.69,1554.4188019534,3580.5327449855,2348.6212210848003
2024-06-02,11,1255.8539743806,35.54,1403.0543091993,4146.6384446362,2373.0489671
2024-06-02,12,1181.3307571794,33.63,1468.7899472706,4383.6862122325,2410.0790133432
2024-06-02,13,1161.2227323303,27.86,1402.5167540841,4640.1469331478,2480.9737937927
2024-06-02,14,874.275592144,27.83,1309.4326082817,4839.3597885299,2847.1949573363
2024-06-02,15,1086.6478234959,28.05,1322.8411120481999,4868.2516138997,2441.3509504418
2024-06-02,16,1060.7907200887,27.93,1296.2731844675,4356.3272527884,2870.9666222844
2024-06-02,17,1154.216274312,28.36,1450.4920755583,3155.0847818516,3912.0623471998
2024-06-02,18,1145.0916054129,29.54,2704.08893949,704.195420384,5436.0053196182
2024-06-02,19,982.8410548026001,29.200000000000003,3250.6420084596,190.6546387629,6241.8903824858
2024-06-02,20,791.2726217942,29.270000000000003,3406.5792143846998,216.0211228286,6375.5844763129
2024-06-02,21,653.9553731994,29.29,3426.9147698354,214.3011355387,6511.0315811093
2024-06-02,22,347.6637195864,29.47,3578.9467699998,213.1497185587,6495.8759658838
2024-06-02,23,292.8669814982,29.47,3664.6776745233,113.0469391091,6320.2561702443
2024-06-02,24,503.9551958465,29.82,3253.7070290981,10.939148212400001,6075.631287807
2024-06-03,1,547.7412872833,29.52,2625.0261156848,0.9021790198,6043.5142708604
2024-06-03,2,544.7615997517,29.59,2256.6701120823,0.002101766,5961.8150555509
2024-06-03,3,499.0242901173,29.36,2243.0019873656,0.0021113259,5710.0367564085
2024-06-03,4,435.7777190735,30.04,2109.0575483916,0.0029978409,5809.8532532111
2024-06-03,5,446.9344134375,29.46,2011.9542392488,0.14599404189999998,5874.8993463439
2024-06-03,6,516.5107273605,29.650000000000002,2049.6948944144,0.8735460087,5982.1388849718005
2024-06-03,7,619.9532424386,29.43,2627.3777647471998,1.9348941868,6092.3405023995
2024-06-03,8,628.0372628773,29.53,2916.3893325970002,231.19477271030001,6283.5664138125
2024-06-03,9,727.1987750738,29.580000000000002,2091.9517224768,2393.279523834,5139.7324695969
2024-06-03,10,844.0400389393,28.62,2105.6518776101,3771.2301506624,3937.4335947626
2024-06-03,11,660.5703134119,28.98,2352.6478113636,4178.0073470124,3726.7755867083
2024-06-03,12,590.096633289,28.880000000000003,2332.0798638803,4372.0854770042,3738.9841446197997
2024-06-03,13,495.9823226449,28.46,2322.4448199392,4384.8875062845,3783.616335816
2024-06-03,14,519.249120216,28.490000000000002,2455.7706321426,4172.7707715666,3991.081814671
2024-06-03,15,872.9993291341,28.75,2259.8290989762,4068.8172164694997,4062.8422896973
2024-06-03,16,1207.5028092682,29.99,2337.7232026481,3390.5501727847,4297.0000985958995
2024-06-03,17,1473.9672691929,38.34,2413.1474146027,2329.329138751,4975.1773836618995
2024-06-03,18,1413.6322846697,39.61,3162.7873741337003,553.7756394163,5939.1734292399
2024-06-03,19,1290.6401216566,38.71,3222.5853642166,201.88375550269998,6329.307308865
2024-06-03,20,985.352393856,40.85,3367.972874184,225.0572051454,6431.9501729383
2024-06-03,21,589.7789050369,39.980000000000004,3511.3422755091,224.2580666397,6587.0453144593
2024-06-03,22,584.0908070125,39.85,3470.7738880895,221.05326323600002,6390.6128723169
2024-06-03,23,835.2456778449999,40.449999999999996,3198.6423735519,110.0329590029,6377.8316222413005
2024-06-03,24,958.9325192864,40.16,3075.647027076,11.9760292766,6168.4920229502
2024-06-04,1,818.238421735,40.46,2885.0367776149,1.5041316842,5896.635736532
2024-06-04,2,773.5117427958,40.41,2649.7560810752,0.4040066144,5638.6036643971
2024-06-04,3,783.5128640097,39.71,2479.2237232209,0.0039852603,5476.4776578303
2024-06-04,4,720.2641719055,40.059999999999995,2460.070983922,0.004426203599999999,5436.6588758429
2024-06-04,5,789.7078519912001,40.16,2346.9286834367,0.0754631132,5442.4026596124
2024-06-04,6,790.9776504706999,39.980000000000004,2508.7092158455002,0.4156530472,5366.8634691309
2024-06-04,7,703.7513346261,39.86,3107.3016525067,1.1569149166,5636.6036557115995
2024-06-04,8,629.1288678602,39.35,3274.5855019235,217.2739666496,6009.0575093123
2024-06-04,9,628.7168771957,39.14,2570.7579438444,2431.7562933102,4770.0414886741
2024-06-04,10,647.5358733967,39.23,2246.8018313687,4273.4237349253,3717.1947535716
2024-06-04,11,499.7341883355,38.32,2266.6041854936,4540.9332674262005,3604.3683338081
2024-06-04,12,547.5149694749,37.86,2144.8999190141,4613.794702048,3608.5042455715998
2024-06-04,13,583.2503230844001,37.79,2108.3507356382,4549.7516074108,3731.8707645778
2024-06-04,14,746.417971528,37.71,2069.5126840611,4451.6287865886,3718.6488364159
2024-06-04,15,963.3199227767,36.63,2142.506565169,4337.6478652474,3452.9036804533
2024-06-04,16,975.8936856166,38.29,2335.798217597,4168.0631046068,3588.8943548339003
2024-06-04,17,1060.8911980018,38.65,2549.2647982418,3202.1700213272,4237.5276230358
2024-06-04,18,1317.8487514229,39.44,3424.4850007277,733.4541847671,5453.3896596258
2024-06-04,19,1212.2585293732,39.92,3389.292310245,215.7463418788,6073.1629379847
2024-06-04,20,1025.9645377654,39.760000000000005,3430.7537799343,230.546426645,6247.6902457494
2024-06-04,21,1175.2329795229,39.900000000000006,3275.3895288847,228.4535053471,6173.3945676905
2024-06-04,22,1385.8368273927,34.66,3220.2866372364,214.354853991,5879.1206500596
2024-06-04,23,1502.7016891785001,36.58,3350.1591996077,141.8600200797,5600.0893912545
2024-06-04,24,1460.5349755553,39.38,3099.7135165132,24.8369434959,5631.6340177963
2024-06-05,1,1099.7806354562,39.2,2842.2140960378,7.0922988431,5696.0230398775
2024-06-05,2,1165.910481842,39.769999999999996,2578.2081494663003,0.0022449702,5318.0736514712
2024-06-05,3,1245.2293262937,39.21,2466.4510489426,0.0022033934,5043.0405966439
2024-06-05,4,1250.4757431585,40.379999999999995,2522.9656017661,0.0040521659,4799.1097473116
2024-06-05,5,1214.3803708685,40.03,2613.9376856635,0.0568696665,4800.0590956605
2024-06-05,6,1330.8326533356,40.22,2579.2959727496,0.2882232469,4897.1973296225
2024-06-05,7,1598.3340264586,40.089999999999996,2935.6902425598,0.7235613368,4937.6113849805
2024-06-05,8,1322.9288706666,40.04,3373.2102733519,223.3958788091,5223.9889901581
2024-06-05,9,1102.3712728578,40.88,2720.0609184646,2503.2423905143,4076.0880731378
2024-06-05,10,749.4397034301,39.15,2591.5306002332,4270.8458400608,3339.1666363598
2024-06-05,11,653.8047454527,37.980000000000004,2822.9170271826997,4468.3657649049,3102.103996329
2024-06-05,12,773.4131492462,36.63,2715.0369498121,4529.9843841051,3066.9873577605
2024-06-05,13,788.1694533385,36.019999999999996,2774.0007765899,4512.6167870255,2983.3632327805
2024-06-05,14,1027.9289890442,36.57,2514.7541495865,4503.254119093569,2959.986131364
2024-06-05,15,1430.8168108672,36.54,2487.2574451515,4389.8095045886,2786.9751962224
2024-06-05,16,1492.5409189903,36.8,2560.1405532727,4133.0823664359,2977.3176517942998
2024-06-05,17,1672.3182914505999,37.34,2627.1965288793,3201.8724833785,3750.2862190432
2024-06-05,18,1525.2068866002,38.31,3506.9574067096,730.353556674,5287.8550159701
2024-06-05,19,1304.0807698213,39.95,3529.7854720141,142.9012100598,5979.2299502203
2024-06-05,20,1016.1347931672,39.7,3712.9149750973,188.7465348554,6074.5354786643
2024-06-05,21,879.4778169786,40.239999999999995,3716.0224844971,187.75221054359997,6044.4018065787
2024-06-05,22,708.5872398453,40.56,3785.2407282456,184.013309509,5958.3710383549005
2024-06-05,23,746.1811561206,40.43,3802.5418184119,120.1240460933,5822.3867282325
2024-06-05,24,874.8164827728,40.07,3735.5209252191,14.077978998199999,5481.5643894682
2024-06-06,1,1110.5346271057,39.67,3504.7515418045,0.8020644985000001,4690.0811550337
2024-06-06,2,1472.3878883668,39.78,3250.7160565034,0.9023836007,4215.0969738692
2024-06-06,3,1555.4151949768,40.730000000000004,3246.7909034064,1.8023402513,3848.6473584387
