,Date,Almacenamiento_Bateria,BioGas,Biomasa,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Solar,Hidraulica
975,2022-09-02,0.0,417.1191983078,3985.7384163224,34272.79,1072.44,606.2185443978,36350.0907254773,0.0,44618.6384882483,1396.85,922.5,42236.556787724,57143.108115367504
976,2022-09-03,0.0,414.1510713407,4841.9704590451,31317.48,1080.21,1869.1321729399,30537.8453163779,0.0,45645.2954105991,1393.62,866.5,39481.3862674197,53228.3684544285
977,2022-09-04,0.0,418.3064258517,4720.6016987318,30547.84,1084.8,777.5700783501,25389.619328759,0.0,49120.8346223065,1408.08,867.5,35029.6533323283,47593.7738256448
978,2022-09-05,0.0,507.1466611737,4791.0139401247,34689.19,1068.73,734.8414059902,12488.1115280911,0.0,53962.7081844337,1404.75,786.5,46412.4729927537,60689.2188919725
979,2022-09-06,0.0,193.4424439045,4744.3332833259,34433.89,968.11,1055.6904224993,18817.2161752624,0.0,54246.6893118249,1382.54,766.5,44586.6099044932,60746.9042491018
980,2022-09-07,0.0,506.307409785,4907.5803452958,34961.94,1136.74,2742.5359485129,17622.6330977806,0.0,55260.1915977683,1346.48,776.0,41675.8081827973,63969.6858539669
981,2022-09-08,0.0,536.2700458357,5046.0382481997,35676.03,1025.8,2666.7345719296,25130.3033340092,0.0,55630.5548576391,1297.46,740.5,37853.5138567657,66005.4194200191
982,2022-09-09,0.0,542.1319087849,4911.2579583507995,35183.48,929.63,1606.5448210098,29162.6120762393,0.0,49566.3339655201,1280.12,767.5,36044.9099553872,59917.071704389
983,2022-09-10,0.0,558.437525495,5294.9397808839,36364.34,904.4,920.6717484297,19427.7275840455,0.0,44751.4524604725,1335.64,828.0,37508.3053558536,64929.9681791368
984,2022-09-11,0.0,538.2859421354,5294.6729340821,32875.86,844.03,0.026226115,12810.366317494001,0.0,44868.954531687,1272.5,811.5,31712.185895648,65151.8942357091
985,2022-09-12,0.0,526.5259064967,5727.1189089817,31141.31,884.18,87.0383989043,22511.2469269221,0.0,45222.4333567539,1326.53,885.0,44458.9439697903,66017.031735485
986,2022-09-13,0.0,454.1842885631,5650.6826123962,33754.88,837.2,425.802605192,23121.831861952698,61.94,42109.6806010741,1258.17,986.0,43547.0488447447,69849.7320511565
987,2022-09-14,0.0,434.6414184281,5333.0534723359,33653.05,779.52,134.11821503230001,30586.1499527974,0.0,40964.4259766147,1324.03,1031.0,44888.0629226925,62521.612192317996
988,2022-09-15,0.0,496.5117088801,5602.2801402436,34526.9,894.99,157.5166072305,20883.399380327,0.0,41202.8314584306,1204.23,1016.5,48085.0846150102,65211.0591267884
989,2022-09-16,0.0,455.969328936,4865.1360531464,32544.61,885.8100000000001,524.9361659402,18662.9599308918,0.0,43109.2436833381,1305.73,1049.5,41197.3816800403,66282.6414392505
990,2022-09-17,0.0,479.9432005278,4670.4857667581,32066.71,876.73,445.204101619,16317.1285285496,0.0,44237.4543287062,1317.76,1069.0,39926.5059001615,65986.0705573593
991,2022-09-18,0.0,423.7249156255,4197.0711899746,29142.91,879.61,71.9920208362,20085.883728224402,0.0,37666.4052930116,1317.3700000000001,1069.0,40223.6322838489,63582.567905461205
992,2022-09-19,0.0,406.563506664,4384.4093896409,29816.1,893.77,1193.0012969445,32256.0135964004,0.0,29291.3896719853,1311.72,1042.5,40069.1000056604,62406.5904257304
993,2022-09-20,0.0,486.9933204913,4777.1608694848,36740.92,882.77,2857.5917281245,29430.3756099727,0.0,39426.1226562314,1312.75,997.5,46180.926338545,73124.6668020693
994,2022-09-21,0.0,534.7362365983,4800.6220325301,39977.34,727.89,1327.1686553159,34263.7246868211,0.0,33622.007011689,1301.27,983.0,50303.7595765556,69138.7420745531
995,2022-09-22,0.0,422.7190673559,4414.2761878090005,40340.19,913.72,2543.6591884261,35353.0467634224,0.0,32112.0115773237,1254.96,1016.5,47978.8022447258,65570.2114843255
996,2022-09-23,0.0,543.3377523435,4854.4365703995,49246.94,942.07,3953.8624964267,20500.5526769125,0.0,21145.0375526285,1250.6,1049.5,48504.4862181275,78933.1249421408
997,2022-09-24,0.0,438.4840737622,4383.6606194832,45523.71,940.9300000000001,3071.7713206318,29291.8155908489,0.0,26202.1449569552,1231.06,1064.5,41949.2058675754,72249.80669698
998,2022-09-25,0.0,502.5144806457,4165.0635663912,45211.54,917.75,758.9996623128001,28669.9552116181,0.0,33132.4886154546,1247.84,1069.5,31012.3761090733,61797.6718810146
999,2022-09-26,0.0,490.3934828158,4378.316190094,36910.81,895.69,808.3377441095,36831.023065185596,41.626528210000004,36575.8063097531,1233.94,1156.0,47055.1481853387,64572.7015809753
1000,2022-09-27,0.0,445.4718088038,4529.1844697575,31082.83,857.15,2474.6432691511,36807.8332785757,0.0,34052.4329305556,1245.48,1127.5,49848.706734285,65615.30724432631
1001,2022-09-28,0.0,389.00252338170003,4592.5503217871,36323.19,865.6500000000001,8312.8677719284,23486.1711888144,0.0,38041.8352549113,1225.49,0.0,42707.344246699504,71323.366869613
1002,2022-09-29,0.0,532.388873436,5046.2217205272,40449.24,873.5600000000001,1289.8251889663,12086.8559777852,0.0,46754.2294396834,1259.72,0.0,41129.7917883091,78415.4770135229
1003,2022-09-30,0.0,465.3188859928,4764.0899284676,36343.29,780.02,688.1811872296,18250.8993296949,0.0,47058.7683431884,1248.19,0.0,43951.5253361045,70817.4317007426
1004,2022-10-01,0.0,459.3179591497,4415.873709107,30691.55,540.0,945.6545375999,17014.8470017502,0.0,44027.0930074765,1228.02,0.0,45305.0543910107,66209.6932268853
1005,2022-10-02,0.0,449.625955791,3805.0322240084,29000.44,875.66,940.5433841803,10231.0605804942,0.0,38431.1151949654,1229.95,0.0,44286.1747023783,70385.4435728917
1006,2022-10-03,0.0,575.1239894166999,3601.0297537692,32259.8,546.83,232.58205874189997,15641.5487295503,0.0,43205.3920598729,1240.77,0.0,49296.4282594874,79456.6773405007
1007,2022-10-04,0.0,548.1351702989,3608.9685212562,31812.0,544.9,389.1946861877,16421.3382153193,0.0,43658.2715545534,1236.07,0.0,47221.6361382718,83930.864360849
1008,2022-10-05,0.0,494.9804005574,3077.8030760799,33068.73,538.98,641.5988016302,23425.3062915223,0.0,41250.7680023158,1222.22,0.0,46405.480752416,73396.0771865071
1009,2022-10-06,0.0,458.0579880235,3964.6744467933,25542.3,541.88,270.452249064,37670.959421939,57.2,39988.503576184405,1220.89,0.0,47679.6192932204,66869.2961959612
1010,2022-10-07,0.0,441.4125047796,3071.0454522933,20419.4,546.47,123.00563206620001,37226.8494182978,4.55,40005.6131068894,1209.44,0.0,51587.2016460635,72961.6018750247
1011,2022-10-08,0.0,334.3875676337,3630.078412674,18390.6,546.99,1.1505288506999998,36855.4331573339,0.0,31247.9790651755,1201.37,0.0,49328.4265024619,71024.2804522446
1012,2022-10-09,0.0,166.7140170928,3659.359,20592.5,547.4399999999999,5.6441970591,32395.6611592523,0.0,33764.4755264697,1202.68,0.0,39124.4609799245,69124.9134524183
1013,2022-10-10,0.0,417.7487104466,3530.176,22574.8,882.5600000000001,136.7079834651,25781.4737689353,0.0,36498.80026834,1202.99,0.0,46837.3660962751,68658.5743059212
1014,2022-10-11,0.0,432.9297533147,3787.3426051065,26531.6,882.08,124.04776247849999,33296.2375290201,0.0,37174.472897569896,1208.19,0.0,51870.1250752752,74699.0803955163
1015,2022-10-12,0.0,434.0809093931,4091.8273277287,26080.1,881.66,81.4799676549,37077.0487092944,0.0,33131.4563512254,1187.3799999999999,0.0,52230.5406036193,72295.6606775144
1016,2022-10-13,0.0,404.9252075998,3855.2598509522,23918.6,880.04,967.2815635225,36965.2714877408,0.0,32190.2297583336,1185.34,0.0,51260.2195274952,73443.989225413
1017,2022-10-14,0.0,383.68892181629997,3335.7324659117,23791.061614433,912.35,1623.2470475657,34879.9524623292,0.0,34771.7746030185,1166.94,764.5,48029.8282449759,75016.8521960927
1018,2022-10-15,0.0,417.8480086363,3118.8658384404,29245.15,894.29,2632.0387491919,23089.3600757882,0.0,28727.1771577231,1152.65,1114.5,48938.5897049166,76224.90622186041
1019,2022-10-16,0.0,425.7670582883,3086.4438510432,29027.775392643,888.37,2972.7627920896,19737.5012345972,0.0,28654.0041340482,1162.52,1125.0,45257.3071791901,73727.4346405437
